DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
640,DS-10,60,1,1,750W,80,"3""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,1d887c16-f581-482f-85a6-f26c4a2d6dd6
641,DS-10,60,3,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,4d03f89d-1c3e-4979-a1ad-a7646a040e40
642,DS-10,60,3,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,7617da73-97e3-4ebb-8d54-811e5b26d036
643,DS-100,60,3,10,7.5kW,100,"4""",27.0,1530,28,92,Dirty Water,https://www.hungpump.com/dsk,15.0,1300.0,57b457d8-0e38-45a2-8b53-aec59714bea1
644,DS-100,60,3,10,7.5kW,100,"4""",27.0,1530,28,92,Dirty Water,https://www.hungpump.com/dsk,15.0,1300.0,b9a14422-b8c9-460d-806c-57dec1dc8606
645,DS-20,60,1,2,1.5kW,80,"3""",15.0,660,18,59,Dirty Water,https://www.hungpump.com/dsk,9.0,480.0,fd296783-3aba-4aeb-bda2-11a1face0ce4
646,DS-20,60,3,2,1.5kW,80,"3""",15.0,660,18,59,Dirty Water,https://www.hungpump.com/dsk,9.0,480.0,a2576de5-66d4-467b-97b7-bed62695f1db
647,DS-20,60,3,2,1.5kW,80,"3""",15.0,660,18,59,Dirty Water,https://www.hungpump.com/dsk,9.0,480.0,d99f036b-978e-43b4-a052-2dfcebc82c27
648,DS-20,60,3,2,1.5kW,80,"3""",35.0,960,15.5,51,Dirty Water,https://www.hungpump.com/dsk,9.0,620.0,ee16016e-cf21-40f4-805e-9d6918f5d60c
649,DS-20,60,3,2,1.5kW,80,"3""",35.0,960,15.5,51,Dirty Water,https://www.hungpump.com/dsk,9.0,620.0,617d2bf5-9b0d-425d-a067-646044964d9e
653,DS-30,60,3,3,2.2kW,80,"3""",15.0,820,19,62,Dirty Water,https://www.hungpump.com/dsk,9.0,580.0,cad3a8b0-b56d-4701-b335-7e1950420b4e
654,DS-30,60,3,3,2.2kW,80,"3""",15.0,820,19,62,Dirty Water,https://www.hungpump.com/dsk,9.0,800.0,caeb93fd-d1c9-417f-82b4-3e9a27ceb8c2
655,DS-30,60,3,3,2.2kW,80,"3""",35.0,"1,200",20,66,Dirty Water,https://www.hungpump.com/dsk,12.0,800.0,e20d3af1-389a-4a5c-ab63-534956f5f6b9
656,DS-30,60,3,3,2.2kW,80,"3""",35.0,"1,200",20,66,Dirty Water,https://www.hungpump.com/dsk,12.0,800.0,3f6db730-89d3-48a2-a291-f62132ee2509
657,DS-30,60,3,3,2.2kW,80,"3""",35.0,"1,200",20,66,Dirty Water,https://www.hungpump.com/dsk,12.0,800.0,7a40b258-2904-4295-989a-6585d516d456
662,DS-50,60,3,5,3.7kW,100,"4""",15.0,1180,21,69,Dirty Water,https://www.hungpump.com/dsk,15.0,560.0,88cdce6e-da22-4367-8e4a-e6a287a1ffda
